"ISO3","YEAR","u5_frac"
"MAR",2020,0.0837204496971013
"MAR",2025,0.0776476066770506
"MAR",2030,0.0707476087512714
"MDA",2010,0.0600895354874282
"MDA",2015,0.0547131712353769
"MDA",2020,0.0519793413757463
"MDA",2025,0.0479382917562284
"MDA",2030,0.0444518974425416
"MDG",2010,0.159568740103957
"MDG",2015,0.147443926280436
"MDG",2020,0.13621997089389
"MDG",2025,0.125827336403207
"MDG",2030,0.117201711606426
"MDV",2010,0.0822577836871013
"MDV",2015,0.0836364567550235
"MDV",2020,0.0810136013649399
"MDV",2025,0.0727407441387831
"MDV",2030,0.0627570486205787
"MEX",2010,0.097818338461093
"MEX",2015,0.0916156647559387
"MEX",2020,0.0867166890381817
"MEX",2025,0.081572292291366
"MEX",2030,0.0763123251311986
"MKD",2010,0.0542983232676243
"MKD",2015,0.0559136276100516
"MKD",2020,0.0523045344541293
"MKD",2025,0.0484290252888037
"MKD",2030,0.0450026264664181
"MLI",2010,0.189440740610375
"MLI",2015,0.179593242116354
"MLI",2020,0.167490602549878
"MLI",2025,0.156216172581841
"MLI",2030,0.144776562899671
"MLT",2010,0.045928718062941
"MLT",2015,0.0478236869656207
"MLT",2020,0.0474781161086284
"MLT",2025,0.045948765681699
"MLT",2030,0.0434478844059472
"MMR",2010,0.0824865836198944
"MMR",2015,0.0757781165148868
"MMR",2020,0.0706492613448916
"MMR",2025,0.0668424096858497
"MMR",2030,0.0635588239113704
"MNE",2010,0.0620231515938495
"MNE",2015,0.0594640913080621
"MNE",2020,0.054324984639603
"MNE",2025,0.0494523208183812
"MNE",2030,0.045809271210372
"MNG",2010,0.107691905772168
"MNG",2015,0.102946233348389
"MNG",2020,0.0942971318694439
"MNG",2025,0.0832973568626919
"MNG",2030,0.0736243216730592
"MOZ",2010,0.16572433607879
"MOZ",2015,0.150423543819034
"MOZ",2020,0.139665671760236
"MOZ",2025,0.131038634113638
"MOZ",2030,0.122854582028671
"MRT",2010,0.148352796556306
"MRT",2015,0.134584701115834
"MRT",2020,0.122188491986507
"MRT",2025,0.111801719655428
"MRT",2030,0.105142229519421
"MTQ",2010,0.0608677867319647
"MTQ",2015,0.0620147751947267
"MTQ",2020,0.0600539620494556
"MTQ",2025,0.0587144563589331
"MTQ",2030,0.0569322187924948
"MUS",2010,0.064989855076926
"MUS",2015,0.0573160858471347
"MUS",2020,0.0571129908934943
"MUS",2025,0.0568291635334735
"MUS",2030,0.0554771233799968
"MWI",2010,0.182195018388406
"MWI",2015,0.176381629166779
"MWI",2020,0.170580899715825
"MWI",2025,0.163359376944921
"MWI",2030,0.156594353812947
"MYS",2010,0.0995792157724493
"MYS",2015,0.0925465708581021
"MYS",2020,0.0869394751588218
"MYS",2025,0.0816916607247608
"MYS",2030,0.0771630802281665
"MYT",2010,0.20994150327758
"MYT",2015,0.136551209325052
"MYT",2020,0.118098729312095
"MYT",2025,0.110985524064117
"MYT",2030,0.108167827833277
"NAM",2010,0.125421705268146
"NAM",2015,0.112203151041735
"NAM",2020,0.10447612752242
"NAM",2025,0.0991780681504789
"NAM",2030,0.0926955292967553
"NCL",2010,0.0836249849667452
"NCL",2015,0.0787793668239644
"NCL",2020,0.0743031060870135
"NCL",2025,0.0692157150368468
"NCL",2030,0.0639634494052454
"NER",2010,0.198847753084347
"NER",2015,0.193093985342925
"NER",2020,0.185995487191774
"NER",2025,0.178590466595868
"NER",2030,0.172095154339359
"NGA",2010,0.167708580792852
"NGA",2015,0.161164053558996
"NGA",2020,0.156080030708947
"NGA",2025,0.150591726759355
"NGA",2030,0.145682145075172
"NIC",2010,0.117061147034042
"NIC",2015,0.108117732981407
"NIC",2020,0.0996818365316848
"NIC",2025,0.0922335814635736
"NIC",2030,0.0860807034581687
"NLD",2010,0.0562341945952167
